Time,Applications
1976-01,5352
1976-02,5231
1976-03,7123
1976-04,6032
1976-05,5969
1976-06,7543
1976-07,4779
1976-08,6476
1976-09,5085
1976-10,5228
1976-11,6569
1976-12,5554
1977-01,5353
1977-02,4299
1977-03,6240
1977-04,5518
1977-05,7309
1977-06,6028
1977-07,6081
1977-08,7632
1977-09,6091
1977-10,4622
1977-11,5397
1977-12,5250
1978-01,6484
1978-02,5459
1978-03,5113
1978-04,4977
1978-05,6396
1978-06,5518
1978-07,5824
1978-08,8046
1978-09,7302
1978-10,6699
1978-11,4431
1978-12,4337
1979-01,5960
1979-02,4964
1979-03,4957
1979-04,4955
1979-05,5677
1979-06,2879
1979-07,4086
1979-08,3275
1979-09,3267
1979-10,4093
1979-11,3653
1979-12,4718
1980-01,5902
1980-02,4724
1980-03,4726
1980-04,5909
1980-05,4781
1980-06,4952
1980-07,6198
1980-08,4944
1980-09,6681
1980-10,5448
1980-11,5249
1980-12,6698
1981-01,5598
1981-02,5586
1981-03,6974
1981-04,5587
1981-05,5588
1981-06,6857
1981-07,5095
1981-08,5357
1981-09,7013
1981-10,5597
1981-11,5630
1981-12,6230
1982-01,4981
1982-02,4371
1982-03,6102
1982-04,5115
1982-05,5127
1982-06,6176
1982-07,4942
1982-08,5959
1982-09,4947
1982-10,4737
1982-11,5830
1982-12,5005
1983-01,4514
1983-02,4688
1983-03,3957
1983-04,3357
1983-05,5344
1983-06,4930
1983-07,5185
1983-08,6841
1983-09,5352
1983-10,5755
1983-11,6588
1983-12,5508
1984-01,6420
1984-02,5486
1984-03,5765
1984-04,5769
1984-05,7202
1984-06,5501
1984-07,6939
1984-08,5755
1984-09,5502
1984-10,6960
1984-11,5596
1984-12,5794
1985-01,6742
1985-02,5490
1985-03,6056
1985-04,7583
1985-05,6073
1985-06,5786
1985-07,7346
1985-08,6099
1985-09,5813
1985-10,7237
1985-11,5727
1985-12,7324
1986-01,5451
1986-02,6033
1986-03,6030
1986-04,7924
1986-05,6339
1986-06,5433
1986-07,6872
1986-08,5804
1986-09,6966
1986-10,5786
1986-11,5552
1986-12,8860
1987-01,6957
1987-02,6956
1987-03,9196
1987-04,7669
1987-05,7653
1987-06,9191
1987-07,6410
1987-08,6737
1987-09,8038
1987-10,6686
1987-11,6304
1987-12,7794
1988-01,6008
1988-02,6033
1988-03,7962
1988-04,6622
1988-05,8269
1988-06,6308
1988-07,6622
1988-08,8204
1988-09,6954
1988-10,6644
1988-11,8400
1988-12,6423
1989-01,8204
1989-02,7621
1989-03,8337
1989-04,8740
1989-05,10897
1989-06,8504
1989-07,9190
1989-08,11121
1989-09,8809
1989-10,8256
1989-11,6564
1989-12,6476
1990-01,8160
1990-02,8047
1990-03,8069
1990-04,8385
1990-05,10394
1990-06,8375
1990-07,8525
1990-08,8327
1990-09,7326
1990-10,8533
1990-11,7631
1990-12,7503
1991-01,9362
1991-02,8264
1991-03,7708
1991-04,9704
1991-05,8257
1991-06,7911
1991-07,10083
1991-08,8275
1991-09,8837
1991-10,11106
1991-11,7521
1991-12,9863
1992-01,7801
1992-02,7811
1992-03,10359
1992-04,8726
1992-05,8732
1992-06,10614
1992-07,8452
1992-08,8591
1992-09,10324
1992-10,8408
1992-11,8010
1992-12,9712
1993-01,7638
1993-02,7623
1993-03,10323
1993-04,8619
1993-05,8608
1993-06,10481
1993-07,8415
1993-08,11136
1993-09,8530
1993-10,9046
1993-11,11100
1993-12,8414
1994-01,8366
1994-02,8239
1994-03,10742
1994-04,9042
1994-05,11326
1994-06,8634
1994-07,8646
1994-08,11243
1994-09,8607
1994-10,9268
1994-11,11165
1994-12,8445
1995-01,10376
1995-02,8852
1995-03,8868
1995-04,9129
1995-05,11397
1995-06,8703
1995-07,9108
1995-08,11014
1995-09,8060
1995-10,10741
1995-11,8799
1995-12,8907
1996-01,10099
1996-02,7585
1996-03,8040
1996-04,11654
1996-05,9563
1996-06,9773
1996-07,12220
1996-08,9787
1996-09,9806
1996-10,11492
1996-11,9878
1996-12,11914
1997-01,8676
1997-02,8595
1997-03,9038
1997-04,10842
1997-05,8814
1997-06,9006
1997-07,11862
1997-08,9993
1997-09,12971
1997-10,10248
1997-11,10730
1997-12,13406
1998-01,10286
1998-02,10236
1998-03,14478
1998-04,11631
1998-05,13140
1998-06,17228
1998-07,12954
1998-08,12655
1998-09,17710
1998-10,14217
1998-11,14379
1998-12,14351
1999-01,11184
1999-02,11821
1999-03,15922
1999-04,10118
1999-05,10313
1999-06,11943
1999-07,13186
1999-08,16923
1999-09,14931
1999-10,15425
1999-11,23034
1999-12,14452
2000-01,10804
2000-02,15151
2000-03,13085
2000-04,12873
2000-05,16934
2000-06,13076
2000-07,14114
2000-08,19310
2000-09,14153
2000-10,18339
2000-11,14431
2000-12,13922
2001-01,16138
2001-02,14807
2001-03,14742
2001-04,15677
2001-05,19211
2001-06,14079
2001-07,17891
2001-08,14617
2001-09,14205
2001-10,17130
2001-11,14751
2001-12,10924
2002-01,9903
2002-02,9253
2002-03,12761
2002-04,19924
2002-05,17038
2002-06,16367
2002-07,16681
2002-08,16684
2002-09,16036
2002-10,18268
2002-11,15118
2002-12,16461
2003-01,12490
2003-02,14896
2003-03,14392
2003-04,19320
2003-05,15479
2003-06,14563
2003-07,18185
2003-08,11921
2003-09,18587
2003-10,12395
2003-11,16007
2003-12,18869
2004-01,13866
2004-02,14912
2004-03,17980
2004-04,15092
2004-05,14712
2004-06,17678
2004-07,12422
2004-08,18629
2004-09,14725
2004-10,12219
2004-11,17843
2004-12,11335
2005-01,12143
2005-02,12915
2005-03,15505
2005-04,13056
2005-05,16623
2005-06,12220
2005-07,11173
2005-08,16621
2005-09,13937
2005-10,9374
2005-11,12909
2005-12,11353
2006-01,13470
2006-02,15555
2006-03,15683
2006-04,16776
2006-05,21621
2006-06,16357
2006-07,14925
2006-08,19498
2006-09,15774
2006-10,19148
2006-11,13948
2006-12,13734
2007-01,17833
2007-02,15155
2007-03,14333
2007-04,14513
2007-05,17580
2007-06,13683
2007-07,16994
2007-08,13945
2007-09,13581
2007-10,17565
2007-11,14580
2007-12,13216
2008-01,14012
2008-02,14518
2008-03,15102
2008-04,19695
2008-05,15329
2008-06,14291
2008-07,16348
2008-08,13883
2008-09,14061
2008-10,15763
2008-11,15476
2008-12,16782
2009-01,13454
2009-02,14592
2009-03,18367
2009-04,15633
2009-05,15020
2009-06,18093
2009-07,14287
2009-08,14809
2009-09,17920
2009-10,15659
2009-11,15703
2009-12,18515
2010-01,15200
2010-02,17216
2010-03,23117
2010-04,19487
2010-05,20137
2010-06,24405
2010-07,19390
2010-08,25517
2010-09,19014
2010-10,19158
2010-11,23976
2010-12,17982
2011-01,18222
2011-02,19551
2011-03,24449
2011-04,17989
2011-05,22032
2011-06,18994
2011-07,17808
2011-08,25577
2011-09,19062
2011-10,20231
2011-11,24799
2011-12,19387
2012-01,23979
2012-02,20129
2012-03,20506
2012-04,22098
2012-05,27403
2012-06,20253
2012-07,27029
2012-08,22995
2012-09,21900
2012-10,28093
2012-11,21455
2012-12,21445
2013-01,25646
2013-02,23520
2013-03,22715
2013-04,28601
2013-05,21343
2013-06,22444
2013-07,27404
2013-08,24657
2013-09,23411
2013-10,30794
2013-11,24941
2013-12,28182
2014-01,20223
2014-02,23186
2014-03,23304
2014-04,32317
2014-05,27719
2014-06,25744
2014-07,32862
2014-08,28102
2014-09,33129
2014-10,26672
2014-11,25480
2014-12,28276
2015-01,19864
2015-02,24365
2015-03,33155
2015-04,26641
2015-05,24757
2015-06,30958
2015-07,24899
2015-08,26280
2015-09,32092
2015-10,26439
2015-11,27096
2015-12,30423
2016-01,23117
2016-02,25662
2016-03,32482
2016-04,27091
2016-05,34303
2016-06,25422
2016-07,23462
2016-08,33790
2016-09,25900
2016-10,25869
2016-11,33302
2016-12,24274
2017-01,30873
2017-02,26848
2017-03,26808
2017-04,28452
2017-05,35637
2017-06,27427
2017-07,25845
2017-08,36064
2017-09,27443
2017-10,35689
2017-11,27486
2017-12,24015
2018-01,31754
2018-02,26040
2018-03,26031
2018-04,26908
2018-05,34031
