,Week,Applications
0,1976-01-05/1976-01-11,1379
1,1976-01-12/1976-01-18,1257
2,1976-01-19/1976-01-25,1384
3,1976-01-26/1976-02-01,1332
4,1976-02-02/1976-02-08,1298
5,1976-02-09/1976-02-15,1315
6,1976-02-16/1976-02-22,1305
7,1976-02-23/1976-02-29,1313
8,1976-03-01/1976-03-07,1394
9,1976-03-08/1976-03-14,1384
10,1976-03-15/1976-03-21,1475
11,1976-03-22/1976-03-28,1406
12,1976-03-29/1976-04-04,1464
13,1976-04-05/1976-04-11,1537
14,1976-04-12/1976-04-18,1374
15,1976-04-19/1976-04-25,1554
16,1976-04-26/1976-05-02,1567
17,1976-05-03/1976-05-09,1337
18,1976-05-10/1976-05-16,1562
19,1976-05-17/1976-05-23,1513
20,1976-05-24/1976-05-30,1557
21,1976-05-31/1976-06-06,1555
22,1976-06-07/1976-06-13,1365
23,1976-06-14/1976-06-20,1390
24,1976-06-21/1976-06-27,1391
25,1976-06-28/1976-07-04,1842
26,1976-07-05/1976-07-11,1206
27,1976-07-12/1976-07-18,1261
28,1976-07-19/1976-07-25,1307
29,1976-07-26/1976-08-01,1005
30,1976-08-02/1976-08-08,1203
31,1976-08-09/1976-08-15,1252
32,1976-08-16/1976-08-22,1255
33,1976-08-23/1976-08-29,1257
34,1976-08-30/1976-09-05,1509
35,1976-09-06/1976-09-12,1257
36,1976-09-13/1976-09-19,1254
37,1976-09-20/1976-09-26,1263
38,1976-09-27/1976-10-03,1311
39,1976-10-04/1976-10-10,1305
40,1976-10-11/1976-10-17,1339
41,1976-10-18/1976-10-24,1288
42,1976-10-25/1976-10-31,1296
43,1976-11-01/1976-11-07,1339
44,1976-11-08/1976-11-14,1311
45,1976-11-15/1976-11-21,1304
46,1976-11-22/1976-11-28,1309
47,1976-11-29/1976-12-05,1306
48,1976-12-06/1976-12-12,1399
49,1976-12-13/1976-12-19,1401
50,1976-12-20/1976-12-26,1393
51,1976-12-27/1977-01-02,1361
52,1977-01-03/1977-01-09,1484
53,1977-01-10/1977-01-16,1291
54,1977-01-17/1977-01-23,1290
55,1977-01-24/1977-01-30,1288
56,1977-01-31/1977-02-06,1101
57,1977-02-07/1977-02-13,1079
58,1977-02-14/1977-02-20,1052
59,1977-02-21/1977-02-27,1067
60,1977-02-28/1977-03-06,1081
61,1977-03-07/1977-03-13,1187
62,1977-03-14/1977-03-20,1283
63,1977-03-21/1977-03-27,1336
64,1977-03-28/1977-04-03,1353
65,1977-04-04/1977-04-10,1414
66,1977-04-11/1977-04-17,1392
67,1977-04-18/1977-04-24,1355
68,1977-04-25/1977-05-01,1357
69,1977-05-02/1977-05-08,1453
70,1977-05-09/1977-05-15,1456
71,1977-05-16/1977-05-22,1468
72,1977-05-23/1977-05-29,1468
73,1977-05-30/1977-06-05,1464
74,1977-06-06/1977-06-12,1502
75,1977-06-13/1977-06-19,1493
76,1977-06-20/1977-06-26,1516
77,1977-06-27/1977-07-03,1517
78,1977-07-04/1977-07-10,1524
79,1977-07-11/1977-07-17,1520
80,1977-07-18/1977-07-24,1519
81,1977-07-25/1977-07-31,1518
82,1977-08-01/1977-08-07,1539
83,1977-08-08/1977-08-14,1518
84,1977-08-15/1977-08-21,1518
85,1977-08-22/1977-08-28,1521
86,1977-08-29/1977-09-04,1536
87,1977-09-05/1977-09-11,1533
88,1977-09-12/1977-09-18,1521
89,1977-09-19/1977-09-25,1505
90,1977-09-26/1977-10-02,1532
91,1977-10-03/1977-10-09,1283
92,1977-10-10/1977-10-16,1278
93,1977-10-17/1977-10-23,1080
94,1977-10-24/1977-10-30,981
95,1977-10-31/1977-11-06,1086
96,1977-11-07/1977-11-13,1072
97,1977-11-14/1977-11-20,1074
98,1977-11-21/1977-11-27,1093
99,1977-11-28/1977-12-04,1072
100,1977-12-05/1977-12-11,1281
101,1977-12-12/1977-12-18,1323
102,1977-12-19/1977-12-25,1323
103,1977-12-26/1978-01-01,1323
104,1978-01-02/1978-01-08,1338
105,1978-01-09/1978-01-15,1322
106,1978-01-16/1978-01-22,1278
107,1978-01-23/1978-01-29,1277
108,1978-01-30/1978-02-05,1269
109,1978-02-06/1978-02-12,1187
110,1978-02-13/1978-02-19,1423
111,1978-02-20/1978-02-26,1425
112,1978-02-27/1978-03-05,1424
113,1978-03-06/1978-03-12,1281
114,1978-03-13/1978-03-19,1276
115,1978-03-20/1978-03-26,1278
116,1978-03-27/1978-04-02,1278
117,1978-04-03/1978-04-09,1254
118,1978-04-10/1978-04-16,1243
119,1978-04-17/1978-04-23,1240
120,1978-04-24/1978-04-30,1240
121,1978-05-01/1978-05-07,1252
122,1978-05-08/1978-05-14,1242
123,1978-05-15/1978-05-21,1273
124,1978-05-22/1978-05-28,1272
125,1978-05-29/1978-06-04,1357
126,1978-06-05/1978-06-11,1359
127,1978-06-12/1978-06-18,1350
128,1978-06-19/1978-06-25,1377
129,1978-06-26/1978-07-02,1432
130,1978-07-03/1978-07-09,1438
131,1978-07-10/1978-07-16,1446
132,1978-07-17/1978-07-23,1449
133,1978-07-24/1978-07-30,1491
134,1978-07-31/1978-08-06,1507
135,1978-08-07/1978-08-13,1487
136,1978-08-14/1978-08-20,1788
137,1978-08-21/1978-08-27,1630
138,1978-08-28/1978-09-03,1634
139,1978-09-04/1978-09-10,1786
140,1978-09-11/1978-09-17,1786
141,1978-09-18/1978-09-24,1890
142,1978-09-25/1978-10-01,1840
143,1978-10-02/1978-10-08,1340
144,1978-10-09/1978-10-15,1338
145,1978-10-16/1978-10-22,1339
146,1978-10-23/1978-10-29,1343
147,1978-10-30/1978-11-05,1339
148,1978-11-06/1978-11-12,1191
149,1978-11-13/1978-11-19,1078
150,1978-11-20/1978-11-26,1081
151,1978-11-27/1978-12-03,1081
152,1978-12-04/1978-12-10,1078
153,1978-12-11/1978-12-17,1067
154,1978-12-18/1978-12-24,1074
155,1978-12-25/1978-12-31,1118
156,1979-01-01/1979-01-07,1175
157,1979-01-08/1979-01-14,1161
158,1979-01-15/1979-01-21,1171
159,1979-01-22/1979-01-28,1215
160,1979-01-29/1979-02-04,1238
161,1979-02-05/1979-02-11,1249
162,1979-02-12/1979-02-18,1241
163,1979-02-19/1979-02-25,1237
164,1979-02-26/1979-03-04,1237
165,1979-03-05/1979-03-11,1243
166,1979-03-12/1979-03-18,1237
167,1979-03-19/1979-03-25,1241
168,1979-03-26/1979-04-01,1236
169,1979-04-02/1979-04-08,1240
170,1979-04-09/1979-04-15,1241
171,1979-04-16/1979-04-22,1239
172,1979-04-23/1979-04-29,1235
173,1979-04-30/1979-05-06,1238
174,1979-05-07/1979-05-13,1236
175,1979-05-14/1979-05-20,1242
176,1979-05-21/1979-05-27,1241
177,1979-05-28/1979-06-03,720
178,1979-06-04/1979-06-10,730
179,1979-06-11/1979-06-17,723
180,1979-06-18/1979-06-24,711
181,1979-06-25/1979-07-01,715
182,1979-07-02/1979-07-08,819
183,1979-07-09/1979-07-15,813
184,1979-07-16/1979-07-22,819
185,1979-07-23/1979-07-29,819
186,1979-07-30/1979-08-05,816
187,1979-08-06/1979-08-12,824
188,1979-08-13/1979-08-19,814
189,1979-08-20/1979-08-26,821
190,1979-08-27/1979-09-02,816
191,1979-09-03/1979-09-09,826
192,1979-09-10/1979-09-16,813
193,1979-09-17/1979-09-23,814
194,1979-09-24/1979-09-30,814
195,1979-10-01/1979-10-07,818
196,1979-10-08/1979-10-14,812
197,1979-10-15/1979-10-21,819
198,1979-10-22/1979-10-28,822
199,1979-10-29/1979-11-04,822
200,1979-11-05/1979-11-11,833
201,1979-11-12/1979-11-18,820
202,1979-11-19/1979-11-25,821
203,1979-11-26/1979-12-02,1179
204,1979-12-03/1979-12-09,1178
205,1979-12-10/1979-12-16,1178
206,1979-12-17/1979-12-23,1180
207,1979-12-24/1979-12-30,1182
208,1979-12-31/1980-01-06,1182
209,1980-01-07/1980-01-13,1181
210,1980-01-14/1980-01-20,1185
211,1980-01-21/1980-01-27,1177
212,1980-01-28/1980-02-03,1177
213,1980-02-04/1980-02-10,1185
214,1980-02-11/1980-02-17,1180
215,1980-02-18/1980-02-24,1182
216,1980-02-25/1980-03-02,1177
217,1980-03-03/1980-03-09,1179
218,1980-03-10/1980-03-16,1183
219,1980-03-17/1980-03-23,1182
220,1980-03-24/1980-03-30,1182
221,1980-03-31/1980-04-06,1191
222,1980-04-07/1980-04-13,1180
223,1980-04-14/1980-04-20,1175
224,1980-04-21/1980-04-27,1182
225,1980-04-28/1980-05-04,1181
226,1980-05-05/1980-05-11,1190
227,1980-05-12/1980-05-18,1178
228,1980-05-19/1980-05-25,1179
229,1980-05-26/1980-06-01,1234
230,1980-06-02/1980-06-08,1244
231,1980-06-09/1980-06-15,1235
232,1980-06-16/1980-06-22,1237
233,1980-06-23/1980-06-29,1236
234,1980-06-30/1980-07-06,1243
235,1980-07-07/1980-07-13,1237
236,1980-07-14/1980-07-20,1240
237,1980-07-21/1980-07-27,1235
238,1980-07-28/1980-08-03,1243
239,1980-08-04/1980-08-10,1239
240,1980-08-11/1980-08-17,1236
241,1980-08-18/1980-08-24,1235
242,1980-08-25/1980-08-31,1234
243,1980-09-01/1980-09-07,1245
244,1980-09-08/1980-09-14,1235
245,1980-09-15/1980-09-21,1402
246,1980-09-22/1980-09-28,1401
247,1980-09-29/1980-10-05,1398
248,1980-10-06/1980-10-12,1408
249,1980-10-13/1980-10-19,1397
250,1980-10-20/1980-10-26,1331
251,1980-10-27/1980-11-02,1312
252,1980-11-03/1980-11-09,1319
253,1980-11-10/1980-11-16,1311
254,1980-11-17/1980-11-23,1308
255,1980-11-24/1980-11-30,1311
256,1980-12-01/1980-12-07,1327
257,1980-12-08/1980-12-14,1327
258,1980-12-15/1980-12-21,1331
259,1980-12-22/1980-12-28,1356
260,1980-12-29/1981-01-04,1357
261,1981-01-05/1981-01-11,1363
262,1981-01-12/1981-01-18,1426
263,1981-01-19/1981-01-25,1422
264,1981-01-26/1981-02-01,1387
265,1981-02-02/1981-02-08,1400
266,1981-02-09/1981-02-15,1396
267,1981-02-16/1981-02-22,1399
268,1981-02-23/1981-03-01,1391
269,1981-03-02/1981-03-08,1401
270,1981-03-09/1981-03-15,1397
271,1981-03-16/1981-03-22,1391
272,1981-03-23/1981-03-29,1394
273,1981-03-30/1981-04-05,1391
274,1981-04-06/1981-04-12,1398
275,1981-04-13/1981-04-19,1397
276,1981-04-20/1981-04-26,1394
277,1981-04-27/1981-05-03,1398
278,1981-05-04/1981-05-10,1401
279,1981-05-11/1981-05-17,1395
280,1981-05-18/1981-05-24,1398
281,1981-05-25/1981-05-31,1394
282,1981-06-01/1981-06-07,1397
283,1981-06-08/1981-06-14,1399
284,1981-06-15/1981-06-21,1397
285,1981-06-22/1981-06-28,1389
286,1981-06-29/1981-07-05,1275
287,1981-07-06/1981-07-12,1278
288,1981-07-13/1981-07-19,1273
289,1981-07-20/1981-07-26,1273
290,1981-07-27/1981-08-02,1271
291,1981-08-03/1981-08-09,1277
292,1981-08-10/1981-08-16,1272
293,1981-08-17/1981-08-23,1404
294,1981-08-24/1981-08-30,1404
295,1981-08-31/1981-09-06,1406
296,1981-09-07/1981-09-13,1405
297,1981-09-14/1981-09-20,1398
298,1981-09-21/1981-09-27,1400
299,1981-09-28/1981-10-04,1404
300,1981-10-05/1981-10-11,1406
301,1981-10-12/1981-10-18,1407
302,1981-10-19/1981-10-25,1404
303,1981-10-26/1981-11-01,1380
304,1981-11-02/1981-11-08,1379
305,1981-11-09/1981-11-15,1380
306,1981-11-16/1981-11-22,1436
307,1981-11-23/1981-11-29,1435
308,1981-11-30/1981-12-06,1253
309,1981-12-07/1981-12-13,1247
310,1981-12-14/1981-12-20,1243
311,1981-12-21/1981-12-27,1245
312,1981-12-28/1982-01-03,1242
313,1982-01-04/1982-01-10,1243
314,1982-01-11/1982-01-17,1237
315,1982-01-18/1982-01-24,1252
316,1982-01-25/1982-01-31,1249
317,1982-02-01/1982-02-07,1243
318,1982-02-08/1982-02-14,1045
319,1982-02-15/1982-02-21,1043
320,1982-02-22/1982-02-28,1040
321,1982-03-01/1982-03-07,1042
322,1982-03-08/1982-03-14,1260
323,1982-03-15/1982-03-21,1265
324,1982-03-22/1982-03-28,1260
325,1982-03-29/1982-04-04,1275
326,1982-04-05/1982-04-11,1279
327,1982-04-12/1982-04-18,1274
328,1982-04-19/1982-04-25,1282
329,1982-04-26/1982-05-02,1280
330,1982-05-03/1982-05-09,1281
331,1982-05-10/1982-05-16,1280
332,1982-05-17/1982-05-23,1281
333,1982-05-24/1982-05-30,1285
334,1982-05-31/1982-06-06,1284
335,1982-06-07/1982-06-13,1280
336,1982-06-14/1982-06-20,1280
337,1982-06-21/1982-06-27,1277
338,1982-06-28/1982-07-04,1055
339,1982-07-05/1982-07-11,1241
340,1982-07-12/1982-07-18,1235
341,1982-07-19/1982-07-25,1232
342,1982-07-26/1982-08-01,1234
343,1982-08-02/1982-08-08,1017
344,1982-08-09/1982-08-15,1232
345,1982-08-16/1982-08-22,1235
346,1982-08-23/1982-08-29,1238
347,1982-08-30/1982-09-05,1237
348,1982-09-06/1982-09-12,1234
349,1982-09-13/1982-09-19,1236
350,1982-09-20/1982-09-26,1239
351,1982-09-27/1982-10-03,1238
352,1982-10-04/1982-10-10,1019
353,1982-10-11/1982-10-17,1238
354,1982-10-18/1982-10-24,1233
355,1982-10-25/1982-10-31,1247
356,1982-11-01/1982-11-07,1247
357,1982-11-08/1982-11-14,1249
358,1982-11-15/1982-11-21,1028
359,1982-11-22/1982-11-28,1241
360,1982-11-29/1982-12-05,1065
361,1982-12-06/1982-12-12,1317
362,1982-12-13/1982-12-19,1065
363,1982-12-20/1982-12-26,1311
364,1982-12-27/1983-01-02,1312
365,1983-01-03/1983-01-09,1066
366,1983-01-10/1983-01-16,1068
367,1983-01-17/1983-01-23,1068
368,1983-01-24/1983-01-30,1312
369,1983-01-31/1983-02-06,1308
