title,cpc_i,asignee,filing_date,patent_no,relevancy,category
UNMANNED AERIAL VEHICLE,B64C27/08;B64C39/024;B64C27/16;B64U30/296;B64U10/14,Unknown,2018-12-27,20210214075,73.887054,Aviation
"LOGISTICS SYSTEM, UNMANNED AERIAL VEHICLE, AND CARGO MANAGEMENT METHOD",B65G1/1373;B64C39/024;G05D1/104;B64D1/22;G06K7/10366;G06K19/06037;B65G1/1371;G06K19/0723;G06K7/1417;G06Q10/083,Unknown,2018-12-27,20220076192,64.447464,Aviation
"UNMANNED AERIAL VEHICLE CONTROL SYSTEM, UNMANNED AERIAL VEHICLE CONTROL METHOD, AND PROGRAM",G08G5/045;B64F1/36;G05D1/0653;G08G5/0013;G08G5/0065;B64C13/18;B64D45/04;B64F1/007;G08G5/0069;G05D1/0676;G08G5/025;G08G5/0086;B64F1/18;G08G5/0073;B64U70/90;G08G5/0021;B64C39/024;G05D1/101,"Rakuten, Inc.",2018-12-25,20210209954,68.0203,Aviation
"SYSTEMS, METHODS, AND DEVICES FOR ITEM DELIVERY USING UNMANNED AERIAL VEHICLES",G05D1/102;G06Q20/065;G06Q20/322;H04L9/3213;G06Q10/083;G06Q20/20;G05D1/101;G06Q20/18;B64D9/00;H04L9/3239;B64U30/26;B64D1/00;B64C39/024;H04L9/50,"Ford Global Technologies, LLC",2018-12-21,20200202284,63.734207,Aviation
SYSTEM FOR AUTONOMOUS UNMANNED AERIAL VEHICLE TRAJECTORY CONFLICT RESOLUTION,B64C39/024;G08G5/045;G08G5/0052;G08G5/0043;G08G5/0069;G08G5/04,Unknown,2018-12-20,20200202729,66.28873,Aviation
Unmanned aerial vehicle (UAV) and method of using UAV to guide a target,B64C39/024;A01K15/023;A01K15/027;A01K15/04;G05D1/0094;B64D47/08;G05D1/12;G06V40/103;B64U10/10;B25J11/0085;H04N7/15;A01K15/021;G05D1/106,"SZ DJI TECHNOLOGY CO., LTD.",2018-12-20,10729103,65.925026,Aviation
UNMANNED AERIAL VEHICLE FOR INFRASTRUCTURE MAINTENANCE,B64C25/32;B64C25/04;B64D1/12;B64D1/22;B64D1/02;B64C39/024,Unknown,2018-12-18,20190389576,70.74283,Aviation
Autonomous Unmanned Aerial Vehicle and Method of Control Thereof,G08G5/0039;G08G5/045;B64U10/13;G08G5/0034;B64C39/024;G05D1/106;G05D1/101;G08G5/0021;G08G5/006;G05D1/12;G08G5/0069,Unknown,2018-12-18,20200369384,68.296585,Aviation
"UNMANNED AERIAL VEHICLE AND METHOD FOR OPERATING SAME, AND AUTOMATED GUIDED VEHICLE FOR CONTROLLING MOVEMENT OF UNMANNED AERIAL VEHICLE",G05D1/102;B64C39/02;G05D1/0202;B64D47/08,Unknown,2018-12-17,20200257295,65.66309,Aviation
SYSTEM AND METHOD FOR SURVEYING WILDLIFE WITH AN UNMANNED AERIAL VEHICLE,G01J5/047;G01J5/0025;B64C39/024;A01K29/005,Unknown,2018-12-15,20190183095,64.029495,Aviation
